pruid,prname,prnameFR,date,update,numconf,numprob,numdeaths,numtotal,numtested,numtests,numrecover,percentrecover,ratetested,ratetests,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numteststoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,numtotal_last7,ratetotal_last7,numdeaths_last7,ratedeaths_last7,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7,raterecovered
59,British Columbia,Colombie-Britannique,2020-03-09,,32,0,1,32,,2989,,,,581,5,18.52,0.62,0.02,0,3.13,,,,96.88,31,0.60,,,,,,,,,,,,,0.00
24,Quebec,Québec,2020-03-09,,4,0,0,4,,201,,,,23,1,33.33,0.05,0.00,0,0.00,,,,100.00,4,0.05,,,,,,,,,,,,,0.00
48,Alberta,Alberta,2020-03-09,,7,0,0,7,,341,,,,77,6,600.00,0.16,0.00,0,0.00,,,,100.00,7,0.16,,,,,,,,,,,,,0.00
1,Canada,Canada,2020-03-09,,77,0,1,77,,3531,,,,93,15,24.19,0.20,0.00,0,1.30,,,,98.70,76,0.20,,,,,,,,,,,,,0.00
59,British Columbia,Colombie-Britannique,2020-03-11,,39,0,1,39,4373,3545,,,850,689,7,21.88,0.76,0.02,0,2.56,4373,,,97.44,38,0.74,,,,,,,,,,,,,0.00
48,Alberta,Alberta,2020-03-11,,14,0,0,14,1969,984,,,445,223,7,100.00,0.32,0.00,0,0.00,1969,,,100.00,14,0.32,,,,,,,,,,,,,0.00
47,Saskatchewan,Saskatchewan,2020-03-11,,0,0,0,0,204,0,,,173,,0,0.00,0.00,0.00,0,,204,,,,,0.00,,,,,,,,,,,,,0.00
46,Manitoba,Manitoba,2020-03-11,,0,0,0,0,352,13,,,255,9,0,0.00,0.00,0.00,0,,352,,,,,0.00,,,,,,,,,,,,,0.00
35,Ontario,Ontario,2020-03-11,,42,0,1,42,3394,0,,,230,,8,23.53,0.29,0.01,1,2.38,3394,,,97.62,41,0.28,,,,,,,,,,,,,0.00
24,Quebec,Québec,2020-03-11,,7,0,0,7,556,266,,,65,31,3,75.00,0.08,0.00,0,0.00,556,,,100.00,7,0.08,,,,,,,,,,,,,0.00
13,New Brunswick,Nouveau-Brunswick,2020-03-11,,0,0,0,0,22,6,,,28,8,0,0.00,0.00,0.00,0,,22,,,,,0.00,,,,,,,,,,,,,0.00
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-11,,0,0,0,0,44,4,,,84,8,0,0.00,0.00,0.00,0,,44,,,,,0.00,,,,,,,,,,,,,0.00
12,Nova Scotia,Nouvelle-Écosse,2020-03-11,,0,0,0,0,103,3,,,105,3,0,0.00,0.00,0.00,0,,103,,,,,0.00,,,,,,,,,,,,,0.00
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-11,,0,0,0,0,6,0,,,38,,0,0.00,0.00,0.00,0,,6,,,,,0.00,,,,,,,,,,,,,0.00
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-11,,0,0,0,0,0,2,,,,44,0,0.00,0.00,0.00,0,,0,,,,,0.00,,,,,,,,,,,,,0.00
62,Nunavut,Nunavut,2020-03-11,,0,0,0,0,0,0,,,,,0,0.00,0.00,0.00,0,,0,,,,,0.00,,,,,,,,,,,,,0.00
60,Yukon,Yukon,2020-03-11,,0,0,0,0,0,23,,,,547,0,0.00,0.00,0.00,0,,0,,,,,0.00,,,,,,,,,,,,,0.00
99,Repatriated travellers,Voyageurs rapatriés,2020-03-11,,1,0,0,1,29,0,,,,,1,100.00,,,0,0.00,29,,,100.00,1,,,,,,,,,,,,,,
1,Canada,Canada,2020-03-11,,103,0,2,103,11052,4846,,,291,128,26,33.77,0.27,0.01,1,1.94,11023,,,98.06,101,0.27,,,,,,,,,,,,,0.00
59,British Columbia,Colombie-Britannique,2020-03-12,,46,0,1,46,5195,4354,,,1009,846,7,17.95,0.89,0.02,0,2.17,822,809,,97.83,45,0.87,,,,,,,,,,,,,0.00
48,Alberta,Alberta,2020-03-12,,19,0,0,19,4109,1768,,,929,400,5,35.71,0.43,0.00,0,0.00,2140,784,,100.00,19,0.43,,,,,,,,,,,,,0.00
47,Saskatchewan,Saskatchewan,2020-03-12,,0,1,0,1,285,0,,,242,,1,0.00,0.08,0.00,0,0.00,81,0,,100.00,1,0.08,,,,,,,,,,,,,0.00
46,Manitoba,Manitoba,2020-03-12,,0,1,0,1,352,117,,,255,85,1,0.00,0.07,0.00,0,0.00,0,104,,100.00,1,0.07,,,,,,,,,,,,,0.00
35,Ontario,Ontario,2020-03-12,,59,0,1,59,4185,0,,,284,,17,40.48,0.40,0.01,0,1.69,791,0,,98.31,58,0.39,,,,,,,,,,,,,0.00
24,Quebec,Québec,2020-03-12,,13,0,0,13,740,397,,,86,46,6,85.71,0.15,0.00,0,0.00,184,131,,100.00,13,0.15,,,,,,,,,,,,,0.00
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-12,,0,0,0,0,52,27,,,100,52,0,0.00,0.00,0.00,0,,30,21,,,,0.00,,,,,,,,,,,,,0.00
